"Hrub˝ dom·ci produkt podæa zloûiek v˝davkov v mil. EUR st·lych cien, indexy"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Hrub˝ dom·ci produkt vytvoren˝"
"  mil. EUR s.c.p.r.";"17 917,62";"21 015,98";"23 283,41";"25 395,12";"26 609,37";"28 893,09";"32 649,33";"35 862,42";"39 299,93";"43 581,73";"49 213,82";"54 676,62";"62 349,86";"66 603,68";"64 777,64";"67 250,92";"69 482,36";"71 797,60";"73 787,27";"76 076,67";"78 855,93"
"  mil. EUR s.c.10";"35 217,81";"37 597,53";"39 878,77";"41 478,63";"41 393,57";"41 894,51";"43 283,93";"45 241,57";"47 693,08";"50 201,18";"53 590,24";"58 120,17";"64 396,90";"68 022,30";"64 333,76";"67 577,29";"69 482,36";"70 633,79";"71 686,69";"73 529,64";"76 346,63"
"  indexy v s.c.10, romr=100";".";"106,8";"106,1";"104,0";"99,8";"101,2";"103,3";"104,5";"105,4";"105,3";"106,8";"108,5";"110,8";"105,6";"94,6";"105,0";"102,8";"101,7";"101,5";"102,6";"103,8"
"KoneËn· spotreba spolu"
"  mil. EUR s.c.p.r.";"12 854,12";"15 432,17";"17 344,62";"19 040,15";"19 749,33";"21 991,09";"24 913,34";"27 660,33";"29 564,78";"32 449,94";"36 871,57";"40 303,89";"44 686,83";"48 619,43";"51 358,11";"51 827,47";"51 875,28";"53 192,65";"54 774,21";"56 763,49";"58 464,84"
"  mil. EUR s.c.10";"27 619,38";"30 301,35";"32 038,61";"34 035,26";"33 384,36";"34 245,76";"36 011,14";"37 865,48";"39 249,98";"40 415,40";"42 894,85";"45 798,51";"48 405,69";"51 385,58";"51 948,62";"52 331,23";"51 875,28";"51 443,01";"51 402,69";"52 604,27";"54 175,15"
"  indexy v s.c.10, romr=100";".";"109,7";"105,7";"106,2";"98,1";"102,6";"105,2";"105,1";"103,7";"103,0";"106,1";"106,8";"105,7";"106,2";"101,1";"100,7";"99,1";"99,2";"99,9";"102,3";"103,0"
"KoneËn· spotreba dom·cnostÌ"
"  mil. EUR s.c.p.r.";"9 086,57";"10 846,80";"12 258,38";"13 567,16";"14 261,69";"15 952,74";"18 199,29";"20 316,32";"21 502,48";"23 998,04";"27 246,87";"29 646,76";"33 480,12";"36 413,87";"37 832,17";"38 007,44";"38 173,64";"39 501,06";"40 541,44";"41 644,75";"42 522,00"
"  mil. EUR s.c.10";"19 737,09";"21 563,02";"23 311,76";"24 725,44";"24 614,70";"25 074,77";"26 391,06";"27 908,75";"28 697,33";"30 036,14";"31 806,04";"33 691,21";"36 277,97";"38 457,34";"38 238,43";"38 396,39";"38 173,64";"38 013,55";"37 709,42";"38 223,71";"39 066,03"
"  indexy v s.c.10, romr=100";".";"109,3";"108,1";"106,1";"99,6";"101,9";"105,2";"105,8";"102,8";"104,7";"105,9";"105,9";"107,7";"106,0";"99,4";"100,4";"99,4";"99,6";"99,2";"101,4";"102,2"
"KoneËn· spotr. nezisk. inötit. sl˙ûiac. dom·cn."
"  mil. EUR s.c.p.r.";"130,31";"129,64";"103,99";"148,96";"232,00";"269,75";"260,91";"292,79";"334,00";"449,45";"496,08";"561,48";"580,71";"641,05";"687,78";"699,88";"698,85";"713,65";"723,07";"741,68";"740,00"
"  mil. EUR s.c.10";"302,81";"284,62";"226,25";"293,19";"398,59";"411,58";"377,53";"396,97";"438,68";"556,79";"575,55";"628,25";"620,19";"668,55";"689,75";"699,29";"698,85";"702,47";"700,43";"711,88";"709,14"
