"Disponibiln˝ dÙchodok v mil. EUR beûn˝ch cien, indexy"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"Hrub˝ dom·ci produkt"
"  mil. EUR b.c.";"4 554,23";"5 288,06";"5 057,52";"4 785,97";"5 113,39";"5 482,72";"5 743,54";"5 611,85";"5 711,28";"6 148,17";"6 391,93";"6 164,23";"6 182,38";"6 734,37";"6 878,77";"6 868,53";"6 718,89";"7 381,29";"7 322,97";"7 124,46";"7 119,41";"8 030,38";"8 170,29";"8 281,20";"7 752,03";"8 735,44";"8 800,02";"9 023,14";"8 401,02";"9 241,60";"9 715,77";"9 921,46";"9 320,05";"10 282,10";"10 693,52";"11 108,68";"10 578,87";"11 169,97";"11 965,04";"12 387,65";"11 413,87";"12 417,75";"13 097,75";"13 485,72";"12 467,64";"13 922,04";"14 689,58";"15 193,40";"14 257,66";"15 469,70";"16 515,96";"16 810,57";"16 205,16";"17 204,22";"17 888,99";"17 193,25";"14 978,44";"15 854,05";"16 740,50";"16 450,06";"15 588,29";"16 747,12";"17 899,28";"17 342,60";"16 188,61";"17 614,92";"18 613,00";"18 210,68";"16 819,61";"18 150,48";"19 217,12";"18 516,31";"17 172,69";"18 541,55";"19 553,70";"18 901,94";"17 509,37";"18 938,65";"20 039,80";"19 458,54";"17 989,23";"19 585,71";"20 767,80";"20 342,87";"18 523,63";"20 242,11";"21 256,14"
"  indexy v b.c., romr = 100";".";".";".";".";"112,3";"103,7";"113,6";"117,3";"111,7";"112,1";"111,3";"109,8";"108,2";"109,5";"107,6";"111,4";"108,7";"109,6";"106,5";"103,7";"106,0";"108,8";"111,6";"116,2";"108,9";"108,8";"107,7";"109,0";"108,4";"105,8";"110,4";"110,0";"110,9";"111,3";"110,1";"112,0";"113,5";"108,6";"111,9";"111,5";"107,9";"111,2";"109,5";"108,9";"109,2";"112,1";"112,2";"112,7";"114,4";"111,1";"112,4";"110,6";"113,7";"111,2";"108,3";"102,3";"92,4";"92,2";"93,6";"95,7";"104,1";"105,6";"106,9";"105,4";"103,9";"105,2";"104,0";"105,0";"103,9";"103,0";"103,2";"101,7";"102,1";"102,2";"101,8";"102,1";"102,0";"102,1";"102,5";"102,9";"102,7";"103,4";"103,6";"104,5";"103,0";"103,4";"102,4"
"PrvotnÈ dÙchodky prijatÈ zo zahraniËia"
"  mil. EUR b.c.";"111,33";"136,82";"94,96";"86,41";"118,19";"139,31";"125,45";"131,82";"132,29";"182,35";"168,33";"151,88";"212,33";"225,35";"219,51";"159,89";"210,23";"165,80";"193,19";"150,04";"220,65";"162,02";"259,74";"274,92";"262,32";"299,81";"300,51";"301,24";"210,78";"185,59";"330,37";"479,93";"339,20";"359,75";"366,74";"362,65";"397,80";"423,88";"496,43";"483,54";"581,63";"624,09";"696,26";"690,17";"669,19";"740,14";"925,93";"767,16";"734,61";"713,58";"775,95";"843,34";"771,79";"858,85";"848,20";"780,16";"753,81";"668,11";"763,34";"787,76";"947,39";"805,00";"826,53";"813,66";"969,03";"763,00";"756,06";"753,29";"941,71";"734,01";"755,15";"767,06";"957,45";"789,56";"776,15";"747,52";"910,30";"713,11";"735,25";"748,35";"995,23";"709,34";"762,79";"737,75";"1 024,95";"787,52";"837,99"
"  indexy v b.c., romr = 100";".";".";".";".";"106,2";"101,8";"132,1";"152,6";"111,9";"130,9";"134,2";"115,2";"160,5";"123,6";"130,4";"105,3";"99,0";"73,6";"88,0";"93,8";"105,0";"97,7";"134,5";"183,2";"118,9";"185,1";"115,7";"109,6";"80,4";"61,9";"109,9";"159,3";"160,9";"193,8";"111,0";"75,6";"117,3";"117,8";"135,4";"133,3";"146,2";"147,2";"140,3";"142,7";"115,1";"118,6";"133,0";"111,2";"109,8";"96,4";"83,8";"109,9";"105,1";"120,4";"109,3";"92,5";"97,7";"77,8";"90,0";"101,0";"125,7";"120,5";"108,3";"103,3";"102,3";"94,8";"91,5";"92,6";"97,2";"96,2";"99,9";"101,8";"101,7";"107,6";"102,8";"97,5";"95,1";"90,3";"94,7";"100,1";"109,3";"99,5";"103,7";"98,6";"103,0";"111,0";"109,9"
"PrvotnÈ dÙchodky platenÈ do zahraniËia"
"  mil. EUR b.c.";"84,08";"112,67";"72,93";"66,20";"67,81";"107,39";"87,46";"85,02";"102,58";"193,39";"164,19";"154,83";"171,28";"225,69";"209,21";"203,44";"186,05";"274,85";"205,32";"219,19";"173,75";"337,01";"281,71";"289,90";"227,67";"343,82";"331,23";"252,58";"303,87";"348,90";"339,33";"360,58";"831,06";"905,71";"905,54";"854,32";"749,92";"1 088,81";"762,26";"1 040,12";"670,33";"1 268,79";"1 099,17";"951,49";"830,87";"1 477,09";"1 167,21";"1 314,93";"502,58";"1 450,03";"1 450,97";"1 534,05";"565,37";"1 910,43";"971,00";"1 083,48";"919,13";"868,37";"790,43";"828,99";"1 205,81";"1 200,11";"1 204,43";"1 297,67";"1 401,54";"1 440,57";"1 448,81";"1 518,23";"1 124,57";"1 159,36";"1 153,30";"1 155,08";"956,95";"991,77";"972,75";"1 042,01";"918,71";"1 184,07";"1 166,70";"1 175,95";"1 048,51";"1 276,62";"1 056,90";"1 105,23";"1 389,51";"1 391,36";"1 379,71"
"  indexy v b.c., romr = 100";".";".";".";".";"80,6";"95,3";"119,9";"128,4";"151,3";"180,1";"187,7";"182,1";"167,0";"116,7";"127,4";"131,4";"108,6";"121,8";"98,1";"107,7";"93,4";"122,6";"137,2";"132,3";"131,0";"102,0";"117,6";"87,1";"133,5";"101,5";"102,4";"142,8";"273,5";"259,6";"266,9";"236,9";"90,2";"120,2";"84,2";"121,7";"89,4";"116,5";"144,2";"91,5";"123,9";"116,4";"106,2";"138,2";"60,5";"98,2";"124,3";"116,7";"112,5";"131,8";"66,9";"70,6";"162,6";"45,5";"81,4";"76,5";"131,2";"138,2";"152,4";"156,5";"116,2";"120,0";"120,3";"117,0";"80,2";"80,5";"79,6";"76,1";"85,1";"85,5";"84,3";"90,2";"96,0";"119,4";"119,9";"112,9";"114,1";"107,8";"90,6";"94,0";"132,5";"109,0";"130,5"
"Hrub˝ n·rodn˝ dÙchodok"
