"Tvorba a pouûitie dÙchodkov v sektore dom·cnostÌ v mil. EUR beûn˝ch cien"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"BeûnÈ prÌjmy spolu"
"  mil. EUR";"3 339,85";"3 702,09";"3 931,63";"4 434,46";"4 242,99";"4 427,71";"4 404,98";"5 033,52";"4 553,03";"4 965,18";"4 927,96";"5 865,55";"5 063,24";"5 488,49";"5 385,23";"6 309,04";"5 592,79";"5 761,74";"5 854,30";"6 739,87";"6 182,14";"6 234,33";"6 330,86";"7 393,51";"6 683,73";"6 753,91";"6 927,03";"8 112,17";"7 243,06";"7 369,57";"7 621,55";"8 821,07";"7 833,98";"7 905,66";"8 146,22";"9 424,95";"8 553,82";"8 704,44";"8 921,02";"10 414,49";"9 217,78";"9 536,56";"9 846,81";"11 499,83";"10 175,34";"10 642,11";"11 130,27";"12 512,68";"11 449,65";"11 880,99";"12 468,76";"14 115,39";"12 718,50";"13 235,24";"13 810,74";"15 231,87";"12 815,66";"13 223,00";"13 684,60";"15 067,93";"12 674,47";"13 496,33";"14 069,24";"15 437,57";"13 069,12";"13 923,08";"14 403,90";"15 791,08";"13 627,59";"14 347,55";"14 754,78";"16 256,86";"13 999,01";"14 591,70";"14 978,62";"16 383,65";"14 318,34";"15 176,66";"15 525,46";"16 841,81";"14 688,48";"15 750,23";"16 165,52";"17 805,24";"15 262,42";"16 327,73";"16 707,32"
"Odmeny zamestnancov  (zo vöetk˝ch sektorov)"
"  mil. EUR";"1 683,15";"1 912,24";"1 992,91";"2 306,24";"1 992,21";"2 195,00";"2 312,82";"2 667,79";"2 290,91";"2 544,86";"2 677,95";"2 987,23";"2 488,80";"2 839,29";"2 866,34";"3 205,08";"2 596,67";"2 890,08";"2 994,24";"3 307,31";"2 905,00";"3 136,02";"3 280,55";"3 746,74";"3 102,21";"3 358,92";"3 491,24";"3 977,71";"3 374,67";"3 677,60";"3 769,28";"4 350,54";"3 671,44";"3 990,10";"4 083,18";"4 719,20";"3 973,03";"4 254,03";"4 304,26";"5 125,10";"4 453,67";"4 748,82";"4 879,79";"5 778,63";"4 907,86";"5 220,18";"5 390,49";"6 309,08";"5 423,86";"5 700,88";"5 877,49";"6 981,36";"5 999,38";"6 360,04";"6 472,35";"7 066,58";"5 988,90";"6 208,96";"6 212,12";"7 029,92";"6 019,81";"6 529,05";"6 504,24";"7 251,34";"6 328,59";"6 749,20";"6 786,15";"7 428,98";"6 555,34";"6 976,89";"6 964,16";"7 656,08";"6 855,62";"7 073,19";"7 096,86";"7 798,59";"6 983,17";"7 456,24";"7 358,01";"8 117,36";"7 342,81";"7 826,82";"7 796,55";"8 740,95";"7 770,35";"8 218,46";"8 136,95"
"HrubÈ mzdy a platy"
"  mil. EUR";"1 279,95";"1 439,92";"1 494,83";"1 738,79";"1 480,39";"1 664,13";"1 736,34";"2 049,99";"1 764,82";"1 960,18";"2 045,07";"2 293,05";"1 601,66";"2 210,06";"2 184,10";"2 461,07";"2 014,48";"2 263,18";"2 306,23";"2 556,33";"2 286,33";"2 417,70";"2 491,17";"2 855,79";"2 408,45";"2 576,47";"2 663,58";"3 055,68";"2 598,47";"2 818,07";"2 858,54";"3 329,66";"2 858,85";"3 080,25";"3 134,32";"3 639,44";"3 100,61";"3 300,16";"3 315,73";"4 002,51";"3 549,41";"3 691,58";"3 778,32";"4 544,46";"3 944,48";"4 101,07";"4 182,89";"4 942,79";"4 360,64";"4 510,47";"4 571,05";"5 455,00";"4 633,16";"4 976,69";"4 968,78";"5 579,63";"4 670,71";"4 922,69";"4 783,21";"5 521,29";"4 640,74";"5 068,74";"5 041,46";"5 709,51";"4 946,55";"5 291,04";"5 277,59";"5 810,94";"5 122,23";"5 409,55";"5 392,23";"6 063,77";"5 249,69";"5 514,92";"5 471,88";"6 110,52";"5 386,65";"5 741,57";"5 666,17";"6 304,13";"5 617,61";"6 022,37";"5 973,33";"6 755,28";"5 977,67";"6 356,10";"6 310,00"
"Hrub˝ prev·dzkov˝ prebytok a hrubÈ zmieöanÈ dÙchodky"
"  mil. EUR";"695,20";"801,03";"943,23";"996,39";"1 134,03";"1 043,96";"895,08";"1 096,05";"1 133,70";"1 170,11";"961,06";"1 402,60";"1 274,51";"1 306,18";"1 064,18";"1 512,55";"1 418,89";"1 353,34";"1 265,59";"1 780,70";"1 594,70";"1 525,15";"1 530,75";"1 976,71";"1 843,19";"1 651,64";"1 781,96";"2 309,39";"2 023,43";"1 857,11";"1 933,97";"2 534,34";"2 301,24";"2 108,51";"2 185,91";"2 840,91";"2 561,64";"2 336,41";"2 424,17";"3 120,95";"2 638,61";"2 666,64";"2 775,91";"3 427,47";"2 966,92";"3 080,36";"3 297,43";"3 692,07";"3 462,24";"3 522,71";"3 805,32";"4 206,48";"3 784,12";"3 957,34";"4 311,19";"4 977,99";"3 675,21";"3 895,69";"4 219,00";"4 480,03";"3 431,15";"3 872,70";"4 347,28";"4 756,91";"3 524,64";"3 896,06";"4 357,21";"4 947,28";"3 725,28";"4 029,38";"4 503,77";"5 043,63";"3 761,86";"4 128,37";"4 595,01";"5 074,72";"3 807,45";"4 206,31";"4 633,83";"5 145,64";"3 868,76";"4 242,43";"4 678,57";"5 136,25";"3 858,32";"4 269,45";"4 715,99"
"DÙchodky z  majetku - prÌjmovÈ"
"  mil. EUR";"232,66";"255,03";"210,59";"300,14";"305,66";"296,99";"309,74";"324,61";"266,08";"341,82";"380,99";"451,26";"341,13";"362,01";"432,71";"465,57";"379,94";"385,28";"441,44";"470,39";"415,83";"397,77";"350,13";"417,42";"349,08";"332,28";"335,13";"345,29";"360,46";"351,43";"343,22";"349,36";"332,68";"281,03";"295,38";"268,97";"276,61";"287,98";"355,48";"378,32";"241,31";"189,11";"239,44";"295,26";"298,01";"254,65";"307,43";"309,24";"352,67";"332,69";"403,29";"445,38";"405,53";"463,87";"454,17";"499,50";"377,53";"407,61";"408,55";"545,68";"204,12";"242,39";"190,83";"241,29";"240,79";"289,82";"220,74";"240,91";"243,96";"253,85";"222,97";"262,06";"210,40";"234,93";"181,56";"200,53";"267,44";"251,67";"268,91";"226,87";"217,50";"187,20";"206,47";"190,65";"203,99";"206,07";"207,10"
"Soci·lne d·vky okrem natur·l.soci·lnych transferov"
