"Hrub˝ dom·ci produkt v mil. EUR prepoËÌtan˝ na jeden pracovn˝ a kalend·rny deÚ"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"HDP v b.c. (mil. EUR)";"4 554,23";"5 288,06";"5 057,52";"4 785,97";"5 113,39";"5 482,72";"5 743,54";"5 611,85";"5 711,28";"6 148,17";"6 391,93";"6 164,23";"6 182,38";"6 734,37";"6 878,77";"6 868,53";"6 718,89";"7 381,29";"7 322,97";"7 124,46";"7 119,41";"8 030,38";"8 170,29";"8 281,20";"7 752,03";"8 735,44";"8 800,02";"9 023,14";"8 401,02";"9 241,60";"9 715,77";"9 921,46";"9 320,05";"10 282,10";"10 693,52";"11 108,68";"10 578,87";"11 169,97";"11 965,04";"12 387,65";"11 413,87";"12 417,75";"13 097,75";"13 485,72";"12 467,64";"13 922,04";"14 689,58";"15 193,40";"14 257,66";"15 469,70";"16 515,96";"16 810,57";"16 205,16";"17 204,22";"17 888,99";"17 193,25";"14 978,44";"15 854,05";"16 740,50";"16 450,06";"15 588,29";"16 747,12";"17 899,28";"17 342,60";"16 188,61";"17 614,92";"18 613,00";"18 210,68";"16 819,61";"18 150,48";"19 217,12";"18 516,31";"17 172,69";"18 541,55";"19 553,70";"18 901,94";"17 509,37";"18 938,65";"20 039,80";"19 458,54";"17 989,23";"19 585,71";"20 767,80";"20 342,87";"18 523,63";"20 242,11";"21 256,14"
"HDP v s.c.p.r. (mil. EUR)";"4 356,79";"4 629,17";"4 492,01";"4 439,66";"5 064,60";"5 314,54";"5 416,00";"5 220,83";"5 630,52";"5 975,50";"6 103,63";"5 573,75";"6 130,24";"6 483,11";"6 344,37";"6 437,41";"6 551,16";"6 916,29";"6 755,23";"6 386,69";"6 813,17";"7 477,34";"7 370,93";"7 231,65";"7 562,30";"8 329,87";"8 285,15";"8 472,01";"8 252,66";"8 970,35";"9 382,02";"9 257,39";"9 107,38";"9 884,85";"10 156,67";"10 151,04";"10 017,12";"10 735,65";"11 516,69";"11 312,27";"11 128,86";"12 357,70";"13 078,26";"12 649,00";"12 262,94";"13 716,83";"14 461,35";"14 235,50";"13 800,73";"15 388,72";"16 533,32";"16 627,10";"15 255,90";"16 585,23";"17 747,51";"17 015,03";"14 773,17";"16 030,37";"17 176,58";"16 797,51";"15 455,08";"16 672,71";"17 792,29";"17 330,85";"15 954,25";"17 275,46";"18 297,99";"17 954,66";"16 627,53";"17 924,50";"18 921,93";"18 323,65";"17 020,42";"18 378,58";"19 445,12";"18 943,16";"17 524,80";"18 937,13";"20 037,58";"19 577,17";"18 050,88";"19 587,16";"20 777,97";"20 439,92";"18 621,60";"20 291,42";"21 345,62"
"HDP v s.c.10 (mil. Eur)";"8 563,44";"9 098,81";"8 829,23";"8 726,33";"9 060,55";"9 507,71";"9 689,22";"9 340,05";"9 643,70";"10 234,57";"10 454,03";"9 546,47";"10 012,70";"10 589,06";"10 362,46";"10 514,41";"10 191,00";"10 758,98";"10 508,45";"9 935,14";"9 878,98";"10 842,02";"10 687,73";"10 485,77";"10 025,51";"11 043,09";"10 983,80";"11 231,53";"10 410,99";"11 316,38";"11 835,71";"11 678,49";"11 052,41";"11 995,92";"12 325,79";"12 318,96";"11 538,58";"12 366,24";"13 265,92";"13 030,44";"12 118,51";"13 456,63";"14 241,26";"13 773,84";"13 035,26";"14 580,72";"15 372,13";"15 132,05";"14 253,83";"15 893,95";"17 076,13";"17 172,99";"15 580,85";"16 938,49";"18 125,52";"17 377,44";"14 671,94";"15 920,53";"17 058,89";"16 682,41";"15 530,09";"16 753,62";"17 878,63";"17 414,95";"15 954,25";"17 275,46";"18 297,99";"17 954,66";"16 358,01";"17 633,95";"18 615,21";"18 026,63";"16 535,88";"17 855,37";"18 891,55";"18 403,88";"16 938,07";"18 303,12";"19 366,73";"18 921,73";"17 476,48";"18 963,87";"20 116,79";"19 789,49";"18 068,07";"19 688,24";"20 711,11"
"PracovnÈ dni";"64";"62";"61";"62";"64";"62";"64";"62";"60";"63";"63";"63";"62";"61";"64";"64";"62";"63";"63";"64";"64";"61";"61";"62";"64";"61";"63";"62";"62";"62";"64";"62";"62";"61";"63";"62";"63";"63";"63";"63";"61";"65";"62";"62";"64";"61";"61";"61";"64";"61";"63";"62";"62";"63";"63";"62";"62";"61";"64";"63";"62";"63";"63";"63";"63";"63";"62";"62";"64";"61";"63";"62";"62";"62";"64";"62";"62";"61";"63";"62";"62";"61";"64";"63";"61";"65";"62"
"Kalend·rne dni";"90";"91";"92";"92";"91";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"91";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"91";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"91";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"91";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"90";"91";"92";"92";"91";"91";"92"
"HDP na 1 prac. deÚ v b.c. (mil. EUR)";"71,16";"85,29";"82,91";"77,19";"79,90";"88,43";"89,74";"90,51";"95,19";"97,59";"101,46";"97,84";"99,72";"110,40";"107,48";"107,32";"108,37";"117,16";"116,24";"111,32";"111,24";"131,65";"133,94";"133,57";"121,13";"143,20";"139,68";"145,53";"135,50";"149,06";"151,81";"160,02";"150,32";"168,56";"169,74";"179,17";"167,92";"177,30";"189,92";"196,63";"187,11";"191,04";"211,25";"217,51";"194,81";"228,23";"240,81";"249,07";"222,78";"253,60";"262,16";"271,14";"261,37";"273,08";"283,95";"277,31";"241,59";"259,90";"261,57";"261,11";"251,42";"265,83";"284,12";"275,28";"256,96";"279,60";"300,21";"293,72";"262,81";"297,55";"305,03";"298,65";"276,98";"299,06";"305,53";"304,87";"282,41";"310,47";"318,09";"313,85";"290,15";"321,08";"324,50";"322,90";"303,67";"311,42";"342,84"
"HDP na 1 prac. deÚ v s.c.p.r. (mil. EUR)";"68,07";"74,66";"73,64";"71,61";"79,13";"85,72";"84,63";"84,21";"93,84";"94,85";"96,88";"88,47";"98,87";"106,28";"99,13";"100,58";"105,66";"109,78";"107,23";"99,79";"106,46";"122,58";"120,83";"116,64";"118,16";"136,56";"131,51";"136,65";"133,11";"144,68";"146,59";"149,31";"146,89";"162,05";"161,22";"163,73";"159,00";"170,41";"182,80";"179,56";"182,44";"190,12";"210,94";"204,02";"191,61";"224,87";"237,07";"233,37";"215,64";"252,27";"262,43";"268,18";"246,06";"263,26";"281,71";"274,44";"238,28";"262,79";"268,38";"266,63";"249,28";"264,65";"282,42";"275,09";"253,24";"274,21";"295,13";"289,59";"259,81";"293,84";"300,35";"295,54";"274,52";"296,43";"303,83";"305,53";"282,66";"310,44";"318,06";"315,76";"291,14";"321,10";"324,66";"324,44";"305,27";"312,18";"344,28"
"HDP na 1 prac. deÚ v s.c.10 (mil. EUR)";"133,80";"146,75";"144,74";"140,75";"141,57";"153,35";"151,39";"150,65";"160,73";"162,45";"165,94";"151,53";"161,50";"173,59";"161,91";"164,29";"164,37";"170,78";"166,80";"155,24";"154,36";"177,74";"175,21";"169,13";"156,65";"181,03";"174,35";"181,15";"167,92";"182,52";"184,93";"188,36";"178,26";"196,65";"195,65";"198,69";"183,15";"196,29";"210,57";"206,83";"198,66";"207,03";"229,70";"222,16";"203,68";"239,03";"252,00";"248,07";"222,72";"260,56";"271,05";"276,98";"251,30";"268,86";"287,71";"280,28";"236,64";"260,99";"266,55";"264,80";"250,49";"265,93";"283,79";"276,43";"253,24";"274,21";"295,13";"289,59";"255,59";"289,08";"295,48";"290,75";"266,71";"287,99";"295,18";"296,84";"273,19";"300,05";"307,41";"305,19";"281,88";"310,88";"314,32";"314,12";"296,20";"302,90";"334,05"
"HDP na 1 kalend. deÚ v b.c. (mil. EUR)";"50,60";"58,11";"54,97";"52,02";"56,19";"60,25";"62,43";"61,00";"63,46";"67,56";"69,48";"67,00";"68,69";"74,00";"74,77";"74,66";"74,65";"81,11";"79,60";"77,44";"78,24";"88,25";"88,81";"90,01";"86,13";"95,99";"95,65";"98,08";"93,34";"101,56";"105,61";"107,84";"103,56";"112,99";"116,23";"120,75";"116,25";"122,75";"130,05";"134,65";"126,82";"136,46";"142,37";"146,58";"138,53";"152,99";"159,67";"165,15";"158,42";"170,00";"179,52";"182,72";"178,08";"189,06";"194,45";"186,88";"166,43";"174,22";"181,96";"178,81";"173,20";"184,03";"194,56";"188,51";"179,87";"193,57";"202,32";"197,94";"184,83";"199,46";"208,88";"201,26";"190,81";"203,75";"212,54";"205,46";"194,55";"208,12";"217,82";"211,51";"199,88";"215,23";"225,74";"221,12";"203,56";"222,44";"231,04"
"HDP na 1 kalend. deÚ v s.c.p.r. (mil. EUR)";"48,41";"50,87";"48,83";"48,26";"55,65";"58,40";"58,87";"56,75";"62,56";"65,66";"66,34";"60,58";"68,11";"71,24";"68,96";"69,97";"72,79";"76,00";"73,43";"69,42";"74,87";"82,17";"80,12";"78,60";"84,03";"91,54";"90,06";"92,09";"91,70";"98,58";"101,98";"100,62";"101,19";"108,62";"110,40";"110,34";"110,08";"117,97";"125,18";"122,96";"123,65";"135,80";"142,15";"137,49";"136,25";"150,73";"157,19";"154,73";"153,34";"169,11";"179,71";"180,73";"167,65";"182,26";"192,91";"184,95";"164,15";"176,16";"186,70";"182,58";"171,72";"183,22";"193,39";"188,38";"177,27";"189,84";"198,89";"195,16";"182,72";"196,97";"205,67";"199,17";"189,12";"201,96";"211,36";"205,90";"194,72";"208,10";"217,80";"212,80";"200,57";"215,24";"225,85";"222,17";"204,63";"222,98";"232,02"
