"Hrub˝ dom·ci produkt v mil. EUR prepoËÌtan˝ na jeden pracovn˝ a kalend·rny deÚ"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"HDP v b.c. (mil. EUR)";"19 685,78";"21 951,49";"24 415,61";"26 664,05";"28 547,61";"31 601,29";"34 310,62";"37 279,84";"41 404,35";"46 101,53";"50 415,09";"56 272,65";"63 053,88";"68 491,62";"64 023,06";"67 577,29";"70 627,21";"72 703,51";"74 169,87";"75 946,36";"78 685,61"
"HDP v s.c.p.r. (mil. EUR)";"17 917,62";"21 015,98";"23 283,41";"25 395,12";"26 609,37";"28 893,09";"32 649,33";"35 862,42";"39 299,93";"43 581,73";"49 213,82";"54 676,62";"62 349,86";"66 603,68";"64 777,64";"67 250,92";"69 482,36";"71 797,60";"73 787,27";"76 076,67";"78 855,93"
"HDP v s.c.10 (mil. Eur)";"35 217,81";"37 597,53";"39 878,77";"41 478,63";"41 393,57";"41 894,51";"43 283,93";"45 241,57";"47 693,08";"50 201,18";"53 590,24";"58 120,17";"64 396,90";"68 022,30";"64 333,76";"67 577,29";"69 482,36";"70 633,79";"71 686,69";"73 529,64";"76 346,63"
"PracovnÈ dni";"249";"252";"249";"251";"252";"248";"250";"250";"248";"252";"250";"247";"250";"250";"250";"251";"250";"250";"250";"248";"250"
"Kalend·rne dni";"365";"366";"365";"365";"365";"366";"365";"365";"365";"366";"365";"365";"365";"366";"365";"365";"365";"366";"365";"365";"365"
"HDP na 1 prac. deÚ v b.c. (mil. EUR)";"79,06";"87,11";"98,05";"106,23";"113,28";"127,42";"137,24";"149,12";"166,95";"182,94";"201,66";"227,82";"252,22";"273,97";"256,09";"269,23";"282,51";"290,81";"296,68";"306,24";"314,74"
"HDP na 1 prac. deÚ v s.c.p.r. (mil. EUR)";"71,96";"83,40";"93,51";"101,18";"105,59";"116,50";"130,60";"143,45";"158,47";"172,94";"196,86";"221,36";"249,40";"266,41";"259,11";"267,93";"277,93";"287,19";"295,15";"306,76";"315,42"
"HDP na 1 prac. deÚ v s.c.10 (mil. EUR)";"141,44";"149,20";"160,16";"165,25";"164,26";"168,93";"173,14";"180,97";"192,31";"199,21";"214,36";"235,30";"257,59";"272,09";"257,34";"269,23";"277,93";"282,54";"286,75";"296,49";"305,39"
"HDP na 1 kalend. deÚ v b.c. (mil. EUR)";"53,93";"59,98";"66,89";"73,05";"78,21";"86,34";"94,00";"102,14";"113,44";"125,96";"138,12";"154,17";"172,75";"187,14";"175,41";"185,14";"193,50";"198,64";"203,21";"208,07";"215,58"
"HDP na 1 kalend. deÚ v s.c.p.r. (mil. EUR)";"49,09";"57,42";"63,79";"69,58";"72,90";"78,94";"89,45";"98,25";"107,67";"119,08";"134,83";"149,80";"170,82";"181,98";"177,47";"184,25";"190,36";"196,17";"202,16";"208,43";"216,04"
"HDP na 1 kalend. deÚ v s.c.10 (mil. EUR)";"96,49";"102,73";"109,26";"113,64";"113,41";"114,47";"118,59";"123,95";"130,67";"137,16";"146,82";"159,23";"176,43";"185,85";"176,26";"185,14";"190,36";"192,99";"196,40";"201,45";"209,17"

"Pozn·mky:"
"metodika ESA 2010, podæa ötvrùroËn˝ch n·rodn˝ch ˙Ëtov"
