"Hrub˝ dom·ci produkt (v EUR, na obyvateæa)"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"HDP v b.c. (mld. EUR)";"4,55";"5,29";"5,06";"4,79";"5,11";"5,48";"5,74";"5,61";"5,71";"6,15";"6,39";"6,16";"6,18";"6,73";"6,88";"6,87";"6,72";"7,38";"7,32";"7,12";"7,12";"8,03";"8,17";"8,28";"7,75";"8,74";"8,80";"9,02";"8,40";"9,24";"9,72";"9,92";"9,32";"10,28";"10,69";"11,11";"10,58";"11,17";"11,97";"12,39";"11,41";"12,42";"13,10";"13,49";"12,47";"13,92";"14,69";"15,19";"14,26";"15,47";"16,52";"16,81";"16,21";"17,20";"17,89";"17,19";"14,98";"15,85";"16,74";"16,45";"15,59";"16,75";"17,90";"17,34";"16,19";"17,61";"18,61";"18,21";"16,82";"18,15";"19,22";"18,52";"17,17";"18,54";"19,55";"18,90";"17,51";"18,94";"20,04";"19,46";"17,99";"19,59";"20,77";"20,34";"18,52";"20,24";"21,26"
"HDP v s.c.p.r. (mld. EUR)";"4,36";"4,63";"4,49";"4,44";"5,06";"5,31";"5,42";"5,22";"5,63";"5,98";"6,10";"5,57";"6,13";"6,48";"6,34";"6,44";"6,55";"6,92";"6,76";"6,39";"6,81";"7,48";"7,37";"7,23";"7,56";"8,33";"8,29";"8,47";"8,25";"8,97";"9,38";"9,26";"9,11";"9,88";"10,16";"10,15";"10,02";"10,74";"11,52";"11,31";"11,13";"12,36";"13,08";"12,65";"12,26";"13,72";"14,46";"14,24";"13,80";"15,39";"16,53";"16,63";"15,26";"16,59";"17,75";"17,02";"14,77";"16,03";"17,18";"16,80";"15,46";"16,67";"17,79";"17,33";"15,95";"17,28";"18,30";"17,95";"16,63";"17,92";"18,92";"18,32";"17,02";"18,38";"19,45";"18,94";"17,52";"18,94";"20,04";"19,58";"18,05";"19,59";"20,78";"20,44";"18,62";"20,29";"21,35"
"HDP v s.c.10 (mld. EUR)";"8,56";"9,10";"8,83";"8,73";"9,06";"9,51";"9,69";"9,34";"9,64";"10,23";"10,45";"9,55";"10,01";"10,59";"10,36";"10,51";"10,19";"10,76";"10,51";"9,94";"9,88";"10,84";"10,69";"10,49";"10,03";"11,04";"10,98";"11,23";"10,41";"11,32";"11,84";"11,68";"11,05";"12,00";"12,33";"12,32";"11,54";"12,37";"13,27";"13,03";"12,12";"13,46";"14,24";"13,77";"13,04";"14,58";"15,37";"15,13";"14,25";"15,89";"17,08";"17,17";"15,58";"16,94";"18,13";"17,38";"14,67";"15,92";"17,06";"16,68";"15,53";"16,75";"17,88";"17,41";"15,95";"17,28";"18,30";"17,95";"16,36";"17,63";"18,62";"18,03";"16,54";"17,86";"18,89";"18,40";"16,94";"18,30";"19,37";"18,92";"17,48";"18,96";"20,12";"19,79";"18,07";"19,69";"20,71"
"Priemern˝ stav obyvateæstva (tis.)";"5 358";"5 362";"5 366";"5 368";"5 369";"5 372";"5 376";"5 378";"5 380";"5 382";"5 385";"5 387";"5 388";"5 390";"5 392";"5 394";"5 393";"5 394";"5 397";"5 399";"5 398";"5 400";"5 402";"5 403";"5 379";"5 379";"5 380";"5 380";"5 379";"5 379";"5 379";"5 379";"5 379";"5 378";"5 380";"5 380";"5 380";"5 381";"5 383";"5 385";"5 385";"5 386";"5 388";"5 389";"5 389";"5 390";"5 392";"5 393";"5 394";"5 395";"5 397";"5 400";"5 402";"5 404";"5 407";"5 411";"5 413";"5 415";"5 419";"5 423";"5 426";"5 428";"5 432";"5 434";"5 393";"5 396";"5 400";"5 403";"5 405";"5 405";"5 406";"5 409";"5 411";"5 411";"5 414";"5 417";"5 416";"5 417";"5 419";"5 421";"5 421";"5 421";"5 423";"5 425";"5 427";"5 429";"5 432"
"HDP na obyvateæa v b.c. (tis. EUR)";"0,85";"0,99";"0,94";"0,89";"0,95";"1,02";"1,07";"1,04";"1,06";"1,14";"1,19";"1,14";"1,15";"1,25";"1,28";"1,27";"1,25";"1,37";"1,36";"1,32";"1,32";"1,49";"1,51";"1,53";"1,44";"1,62";"1,64";"1,68";"1,56";"1,72";"1,81";"1,84";"1,73";"1,91";"1,99";"2,06";"1,97";"2,08";"2,22";"2,30";"2,12";"2,31";"2,43";"2,50";"2,31";"2,58";"2,72";"2,82";"2,64";"2,87";"3,06";"3,11";"3,00";"3,18";"3,31";"3,18";"2,77";"2,93";"3,09";"3,03";"2,87";"3,09";"3,30";"3,19";"3,00";"3,26";"3,45";"3,37";"3,11";"3,36";"3,55";"3,42";"3,17";"3,43";"3,61";"3,49";"3,23";"3,50";"3,70";"3,59";"3,32";"3,61";"3,83";"3,75";"3,41";"3,73";"3,91"
"HDP na obyvateæa v s.c.p.r. (tis. EUR)";"0,81";"0,86";"0,84";"0,83";"0,94";"0,99";"1,01";"0,97";"1,05";"1,11";"1,13";"1,03";"1,14";"1,20";"1,18";"1,19";"1,21";"1,28";"1,25";"1,18";"1,26";"1,38";"1,36";"1,34";"1,41";"1,55";"1,54";"1,57";"1,53";"1,67";"1,74";"1,72";"1,69";"1,84";"1,89";"1,89";"1,86";"2,00";"2,14";"2,10";"2,07";"2,29";"2,43";"2,35";"2,28";"2,54";"2,68";"2,64";"2,56";"2,85";"3,06";"3,08";"2,82";"3,07";"3,28";"3,14";"2,73";"2,96";"3,17";"3,10";"2,85";"3,07";"3,28";"3,19";"2,96";"3,20";"3,39";"3,32";"3,08";"3,32";"3,50";"3,39";"3,15";"3,40";"3,59";"3,50";"3,24";"3,50";"3,70";"3,61";"3,33";"3,61";"3,83";"3,77";"3,43";"3,74";"3,93"
"HDP na obyvateæa v s.c.10 (tis.EUR)";"1,60";"1,70";"1,65";"1,63";"1,69";"1,77";"1,80";"1,74";"1,79";"1,90";"1,94";"1,77";"1,86";"1,96";"1,92";"1,95";"1,89";"1,99";"1,95";"1,84";"1,83";"2,01";"1,98";"1,94";"1,86";"2,05";"2,04";"2,09";"1,94";"2,10";"2,20";"2,17";"2,05";"2,23";"2,29";"2,29";"2,14";"2,30";"2,46";"2,42";"2,25";"2,50";"2,64";"2,56";"2,42";"2,71";"2,85";"2,81";"2,64";"2,95";"3,16";"3,18";"2,88";"3,13";"3,35";"3,21";"2,71";"2,94";"3,15";"3,08";"2,86";"3,09";"3,29";"3,20";"2,96";"3,20";"3,39";"3,32";"3,03";"3,26";"3,44";"3,33";"3,06";"3,30";"3,49";"3,40";"3,13";"3,38";"3,57";"3,49";"3,22";"3,50";"3,71";"3,65";"3,33";"3,63";"3,81"

"Pozn·mky:"
"metodika ESA 2010, podæa ötvrùroËn˝ch n·rodn˝ch ˙Ëtov"
