"Tvorba hrubÈho dom·ceho produktu a jeho zloûiek v mil. EUR st·lych cien, indexy"

" ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Hrub˝ dom·ci produkt"
"  mil. EUR s.c.p.r.";"17 917,62";"21 015,98";"23 283,41";"25 395,12";"26 609,37";"28 893,09";"32 649,33";"35 862,42";"39 299,93";"43 581,73";"49 213,82";"54 676,62";"62 349,86";"66 603,68";"64 777,64";"67 250,92";"69 482,36";"71 797,60";"73 787,27";"76 076,67";"78 855,93"
"  mil. EUR s.c.10";"35 217,81";"37 597,53";"39 878,77";"41 478,63";"41 393,57";"41 894,51";"43 283,93";"45 241,57";"47 693,08";"50 201,18";"53 590,24";"58 120,17";"64 396,90";"68 022,30";"64 333,76";"67 577,29";"69 482,36";"70 633,79";"71 686,69";"73 529,64";"76 346,63"
"  indexy v s.c.10, romr=100";".";"106,8";"106,1";"104,0";"99,8";"101,2";"103,3";"104,5";"105,4";"105,3";"106,8";"108,5";"110,8";"105,6";"94,6";"105,0";"102,8";"101,7";"101,5";"102,6";"103,8"
"Produkcia"
"  mil. EUR s.c.p.r.";"40 169,83";"48 380,61";"54 435,11";"59 509,71";"61 238,26";"65 028,08";"74 757,82";"82 482,33";"90 962,68";"96 113,79";"105 312,20";"124 199,75";"142 168,68";"151 529,54";"140 456,08";"149 961,17";"160 063,61";"167 340,08";"170 421,00";"175 845,12";"184 517,61"
"  mil. EUR s.c.10";"82 355,95";"89 204,52";"95 284,91";"99 958,24";"99 752,83";"100 941,37";"102 776,89";"106 712,26";"112 447,84";"113 354,47";"117 354,76";"131 854,43";"147 058,94";"156 362,28";"139 803,20";"150 839,16";"160 063,61";"163 158,79";"163 620,73";"168 167,89";"178 307,65"
"  indexy v s.c.10, romr=100";".";"108,3";"106,8";"104,9";"99,8";"101,2";"101,8";"103,8";"105,4";"100,8";"103,5";"112,4";"111,5";"106,3";"89,4";"107,9";"106,1";"101,9";"100,3";"102,8";"106,0"
"Medzispotreba"
"  mil. EUR s.c.p.r.";"24 152,24";"29 366,11";"33 412,49";"36 839,96";"37 286,05";"39 217,89";"45 194,79";"50 120,09";"55 710,72";"57 224,18";"61 725,07";"74 958,16";"85 870,00";"91 123,74";"81 735,84";"88 888,73";"97 165,02";"101 796,47";"103 254,47";"106 859,64";"113 346,65"
"  mil. EUR s.c.10";"50 362,41";"54 817,94";"58 771,53";"62 528,36";"62 299,26";"63 379,11";"63 374,33";"65 677,22";"69 571,46";"68 422,75";"69 868,38";"79 595,61";"89 047,39";"94 681,37";"81 486,77";"89 470,91";"97 165,02";"98 729,10";"98 466,73";"101 595,79";"109 402,25"
"  indexy v s.c.10, romr=100";".";"108,8";"107,2";"106,4";"99,6";"101,7";"100,0";"103,6";"105,9";"98,3";"102,1";"113,9";"111,9";"106,3";"86,1";"109,8";"108,6";"101,6";"99,7";"103,2";"107,7"
"Pridan· hodnota"
"  mil. EUR s.c.p.r.";"16 017,59";"19 014,50";"21 022,62";"22 669,76";"23 952,21";"25 810,19";"29 563,03";"32 362,24";"35 251,96";"38 889,61";"43 587,13";"49 241,59";"56 298,68";"60 405,81";"58 720,23";"61 072,44";"62 898,59";"65 543,61";"67 166,53";"68 985,47";"71 170,97"
"  mil. EUR s.c.10";"32 056,85";"34 462,93";"36 597,18";"37 539,10";"37 556,38";"37 698,76";"39 486,60";"41 118,53";"42 973,05";"44 973,02";"47 492,91";"52 266,60";"58 021,92";"61 691,94";"58 314,00";"61 368,25";"62 898,59";"64 433,97";"65 167,74";"66 580,28";"68 908,83"
"  indexy v s.c.10, romr=100";".";"107,5";"106,2";"102,6";"100,0";"100,4";"104,7";"104,1";"104,5";"104,7";"105,6";"110,1";"111,0";"106,3";"94,5";"105,2";"102,5";"102,4";"101,1";"102,2";"103,5"
"»istÈ dane z produktov"
"  mil. EUR s.c.p.r.";"1 900,03";"2 001,48";"2 260,78";"2 725,37";"2 657,16";"3 082,89";"3 086,30";"3 500,18";"4 047,97";"4 692,13";"5 626,70";"5 435,04";"6 051,18";"6 197,87";"6 057,40";"6 178,49";"6 583,77";"6 253,99";"6 620,73";"7 091,20";"7 684,96"
"  mil. EUR s.c.10";"3 200,11";"3 204,38";"3 361,91";"3 958,41";"3 862,89";"4 200,82";"3 839,45";"4 157,02";"4 741,21";"5 241,62";"6 109,94";"5 855,80";"6 375,00";"6 330,35";"6 019,78";"6 209,04";"6 583,77";"6 195,98";"6 518,39";"6 952,99";"7 441,59"
"  indexy v s.c.10, romr=100";".";"100,1";"104,9";"117,7";"97,6";"108,7";"91,4";"108,3";"114,1";"110,6";"116,6";"95,8";"108,9";"99,3";"95,1";"103,1";"106,0";"94,1";"105,2";"106,7";"107,0"

"Pozn·mky:"
"metodika ESA 2010, podæa ötvrùroËn˝ch n·rodn˝ch ˙Ëtov"
