"Pracujúci pod¾a vekových skupín a pohlavia v tis. osobách"

" ";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Muži a ženy spolu"
"  Vekové skupiny spolu";"2 110,2";"2 146,8";"2 224,9";"2 205,9";"2 198,6";"2 132,1";"2 101,7";"2 123,7";"2 127,0";"2 164,6";"2 170,4";"2 216,2";"2 301,4";"2 357,3";"2 433,8";"2 365,8";"2 317,5";"2 315,3";"2 329,0";"2 329,3";"2 363,0";"2 424,0"
"  15 - 19 rokov";"68,9";"66,0";"61,6";"61,8";"52,7";"39,5";"28,9";"25,7";"25,2";"20,9";"17,9";"12,5";"16,1";"17,7";"16,9";"11,8";"9,0";"7,5";"8,3";"7,3";"8,4";"8,6"
"  20 - 24 rokov";"231,9";"246,1";"274,1";"267,2";"262,9";"240,9";"232,9";"223,8";"220,8";"229,1";"217,0";"211,7";"204,2";"216,3";"202,2";"173,6";"154,2";"143,2";"138,2";"136,7";"140,2";"145,2"
"  25 - 29 rokov";"259,0";"255,3";"268,4";"269,1";"276,6";"275,8";"282,3";"292,5";"302,3";"304,1";"320,3";"319,2";"339,8";"338,5";"343,3";"323,1";"309,5";"295,1";"295,8";"286,9";"286,3";"299,7"
"  30 - 34 rokov";"305,7";"312,1";"307,8";"298,6";"291,7";"281,2";"272,4";"270,3";"266,9";"274,7";"286,5";"298,3";"327,5";"335,3";"354,2";"355,4";"343,9";"334,9";"330,6";"325,2";"313,0";"320,6"
"  35 - 39 rokov";"352,0";"344,5";"342,6";"339,1";"328,3";"309,6";"302,1";"305,9";"300,5";"307,2";"291,3";"286,3";"285,8";"298,4";"309,3";"316,2";"325,4";"334,7";"346,2";"353,7";"367,7";"365,1"
"  40 - 44 rokov";"341,5";"351,5";"366,4";"357,9";"347,8";"343,0";"332,7";"326,8";"327,5";"331,1";"309,0";"312,4";"316,1";"315,5";"322,4";"304,4";"294,6";"293,8";"293,6";"307,5";"326,3";"337,4"
"  45 - 49 rokov";"258,4";"274,1";"296,4";"312,5";"324,8";"320,7";"323,5";"324,5";"327,3";"329,7";"317,7";"319,9";"318,4";"319,3";"323,1";"314,4";"307,0";"307,7";"304,5";"296,7";"296,0";"294,0"
"  50 - 54 rokov";"184,8";"188,0";"194,8";"193,7";"201,8";"211,7";"221,0";"242,7";"243,2";"244,1";"266,9";"287,3";"300,5";"304,8";"316,8";"307,1";"297,4";"302,3";"294,1";"284,7";"283,3";"288,3"
"  55 - 59 rokov";"84,0";"82,9";"88,6";"85,3";"89,6";"88,7";"87,1";"93,1";"93,5";"101,5";"115,0";"131,6";"153,6";"167,4";"192,1";"206,1";"218,0";"230,4";"242,9";"249,2";"255,0";"264,9"
"  60 - 64 rokov";"15,6";"17,2";"16,7";"13,7";"15,4";"14,4";"13,2";"12,7";"14,6";"15,1";"21,3";"28,9";"32,4";"37,0";"43,4";"44,1";"48,4";"53,8";"63,3";"69,8";"73,2";"81,3"
"  65 a viac rokov";"8,7";"9,3";"7,7";"7,3";"7,1";"6,6";"5,6";"5,7";"5,2";"7,2";"7,7";"8,2";"7,2";"7,2";"10,4";"9,7";"10,3";"12,2";"11,7";"11,7";"13,9";"19,0"
"  15 - 24 rokov";"300,7";"312,0";"335,7";"328,9";"315,6";"280,4";"261,8";"249,5";"245,9";"250,0";"234,8";"224,1";"220,2";"234,0";"219,0";"185,4";"163,1";"150,7";"146,5";"144,0";"148,5";"153,9"
"  25 - 49 rokov";"1 516,5";"1 537,4";"1 581,6";"1 577,1";"1 569,2";"1 530,2";"1 513,0";"1 519,9";"1 524,6";"1 546,8";"1 524,7";"1 536,1";"1 587,5";"1 607,0";"1 652,2";"1 613,4";"1 580,3";"1 566,0";"1 570,5";"1 569,9";"1 589,2";"1 616,8"
"  50 - 54ž (59m) rokov";"251,5";"254,9";"262,6";"260,4";"271,9";"277,6";"286,6";"315,1";"315,8";"320,5";".";".";".";".";".";".";".";".";".";".";".";"."
"  55ž (60m) a viac rokov";"41,5";"42,6";"45,1";"39,5";"41,9";"43,8";"40,3";"39,2";"40,6";"47,3";".";".";".";".";".";".";".";".";".";".";".";"."
"  50 - 64";".";".";".";".";".";".";".";".";".";".";"403,2";"447,8";"486,5";"509,1";"552,2";"557,3";"563,8";"586,5";"600,3";"603,7";"611,4";"634,5"
"Muži"
"  Vekové skupiny spolu";"1 174,0";"1 193,3";"1 234,6";"1 217,0";"1 210,4";"1 163,7";"1 137,3";"1 145,8";"1 156,8";"1 177,1";"1 193,7";"1 233,0";"1 291,1";"1 321,6";"1 363,7";"1 326,4";"1 284,5";"1 292,2";"1 303,5";"1 295,3";"1 316,4";"1 349,3"
"  15 - 19 rokov";"33,0";"31,6";"28,4";"27,1";"22,7";"16,4";"11,6";"9,8";"10,8";"10,3";"9,1";"6,9";"9,8";"10,9";"11,6";"8,3";"5,2";"4,5";"4,7";"4,5";"6,1";"5,5"
"  20 - 24 rokov";"136,1";"143,8";"159,3";"153,6";"146,7";"132,0";"122,6";"120,4";"121,5";"125,5";"118,1";"118,4";"116,8";"123,0";"119,8";"102,8";"90,6";"90,8";"84,9";"83,6";"87,6";"90,3"
"  25 - 29 rokov";"158,6";"154,6";"158,2";"159,9";"163,5";"161,7";"163,7";"169,0";"176,6";"174,2";"186,6";"191,7";"201,6";"203,4";"203,1";"190,5";"177,1";"170,9";"174,3";"165,2";"166,1";"175,3"
"  30 - 34 rokov";"170,7";"173,7";"173,5";"168,3";"166,4";"156,8";"150,9";"148,9";"149,8";"156,3";"162,0";"170,4";"191,6";"194,4";"204,5";"207,4";"202,2";"200,4";"200,5";"198,5";"190,1";"195,3"
"  35 - 39 rokov";"184,5";"184,4";"183,4";"177,7";"175,2";"166,5";"160,5";"157,2";"155,2";"160,9";"154,7";"153,9";"155,6";"162,5";"169,6";"174,0";"179,5";"188,3";"193,4";"198,6";"206,3";"207,8"
"  40 - 44 rokov";"176,2";"179,4";"191,4";"185,1";"177,3";"175,8";"169,8";"165,9";"164,4";"167,7";"160,6";"162,9";"162,3";"161,8";"165,1";"156,7";"150,0";"152,0";"153,4";"160,5";"173,2";"177,9"
"  45 - 49 rokov";"129,2";"139,3";"151,3";"160,8";"167,4";"162,6";"163,5";"163,7";"165,1";"165,8";"160,0";"161,7";"165,8";"167,1";"164,3";"159,4";"156,5";"155,3";"155,0";"151,0";"150,5";"150,3"
"  50 - 54 rokov";"100,2";"101,1";"103,8";"104,0";"106,4";"110,6";"115,8";"126,4";"126,2";"124,5";"136,6";"146,7";"154,5";"156,4";"161,8";"159,3";"151,4";"152,8";"150,3";"143,8";"143,4";"147,3"
"  55 - 59 rokov";"66,7";"66,9";"67,8";"66,7";"70,1";"65,9";"65,6";"72,4";"72,7";"76,5";"85,8";"94,6";"104,7";"111,4";"123,4";"126,8";"129,5";"131,5";"133,0";"133,9";"135,9";"136,6"
"  60 - 64 rokov";"12,2";"12,5";"11,8";"9,4";"10,9";"11,0";"9,3";"8,0";"10,6";"10,9";"15,6";"20,9";"23,9";"27,5";"34,1";"35,2";"36,5";"38,4";"47,0";"48,7";"48,8";"51,2"
"  65 a viac rokov";"6,7";"6,3";"5,9";"4,4";"3,8";"4,7";"4,1";"4,2";"4,2";"4,6";"4,7";"5,1";"4,5";"3,4";"6,6";"6,0";"6,1";"7,5";"7,1";"7,1";"8,5";"11,9"
"  15 - 24 rokov";"169,1";"175,4";"187,6";"180,7";"169,4";"148,4";"134,2";"130,2";"132,3";"135,8";"127,2";"125,3";"126,6";"133,9";"131,4";"111,1";"95,8";"95,3";"89,6";"88,1";"93,6";"95,8"
