"KoneËn· spotreba dom·cnostÌ podæa klasifik·cie individu·lnej spotreby (COICOP) v mil. EUR beûn˝ch cien, indexy"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"⁄hrn"
"  mil. EUR b.c.";"2 309,54";"2 486,25";"2 522,30";"2 610,22";"2 671,17";"2 867,95";"2 883,39";"2 916,30";"3 018,96";"3 276,90";"3 232,21";"3 263,40";"3 373,05";"3 662,76";"3 681,87";"3 608,18";"3 664,55";"3 968,11";"3 994,75";"4 032,64";"4 003,83";"4 320,75";"4 393,57";"4 573,43";"4 487,01";"4 688,12";"4 892,47";"5 143,91";"4 874,57";"5 147,38";"5 294,64";"5 595,02";"5 428,74";"5 623,35";"5 781,30";"6 094,97";"6 180,49";"6 231,62";"6 482,15";"6 836,41";"6 697,31";"6 774,72";"7 056,88";"7 458,97";"7 431,54";"7 520,97";"7 878,29";"8 262,05";"8 214,38";"8 273,04";"8 713,27";"9 149,61";"9 173,31";"9 284,01";"9 715,40";"9 876,03";"9 343,32";"9 387,26";"9 657,91";"9 462,60";"9 309,18";"9 416,32";"9862,14";"9 808,75";"9 619,87";"9 765,96";"10 151,63";"10 129,97";"10 052,76";"10 088,43";"10 426,03";"10 301,18";"10 081,12";"10 258,65";"10 434,73";"10 309,93";"10 186,59";"10 347,79";"10 520,52";"10 550,26";"10 310,03";"10 607,98";"10 776,98";"10 773,59";"10 518,65";"10 873,11";"11 001,45"
"  indexy v b.c., romr = 100";".";".";".";".";"115,7";"115,4";"114,3";"111,7";"113,0";"114,3";"112,1";"111,9";"111,7";"111,8";"113,9";"110,6";"108,6";"108,3";"108,5";"111,8";"109,3";"108,9";"110,0";"113,4";"112,1";"108,5";"111,4";"112,5";"108,6";"109,8";"108,2";"108,8";"111,4";"109,2";"109,2";"108,9";"113,8";"110,8";"112,1";"112,2";"108,4";"108,7";"108,9";"109,1";"111,0";"111,0";"111,6";"110,8";"110,5";"110,0";"110,6";"110,7";"111,7";"112,2";"111,5";"107,9";"101,9";"101,1";"99,4";"95,8";"99,6";"100,3";"102,1";"103,7";"103,3";"103,7";"102,9";"103,3";"104,5";"103,3";"102,7";"101,7";"100,3";"101,7";"100,1";"100,1";"101,0";"100,9";"100,8";"102,3";"101,2";"102,5";"102,4";"102,1";"102,0";"102,5";"102,1"
"Potraviny a nealkoholickÈ n·poje"
"  mil. EUR b.c.";"680,33";"735,66";"734,90";"766,00";"716,27";"793,82";"790,82";"815,16";"837,02";"937,66";"911,25";"909,71";"913,44";"1 011,40";"990,96";"970,44";"935,74";"1 064,84";"1 036,20";"989,47";"997,13";"1 076,56";"1 070,10";"1 078,22";"1 049,81";"1 113,08";"1 133,65";"1 201,60";"1 140,37";"1 215,80";"1 211,13";"1 245,86";"1 169,01";"1 264,98";"1 229,75";"1 295,53";"1 182,31";"1 258,99";"1 289,80";"1 333,85";"1 236,01";"1 314,87";"1 335,22";"1 361,42";"1 270,55";"1 406,90";"1 427,80";"1 487,56";"1 371,41";"1 585,24";"1 547,28";"1 721,59";"1 554,33";"1 785,81";"1 686,45";"1 796,00";"1 679,19";"1 763,12";"1 686,21";"1 667,88";"1 605,11";"1 740,76";"1 766,39";"1 749,44";"1 709,85";"1 845,24";"1 793,10";"1 767,35";"1 809,99";"1 878,70";"1 837,71";"1 871,98";"1 831,92";"1 925,41";"1 868,06";"1 878,60";"1 875,54";"1 957,07";"1 895,32";"1 949,87";"1 864,28";"2 017,35";"1 970,46";"2 013,70";"1 914,05";"2 074,87";"2 021,74"
"  indexy v b.c., romr = 100";".";".";".";".";"105,3";"107,9";"107,6";"106,4";"116,9";"118,1";"115,2";"111,6";"109,1";"107,9";"108,7";"106,7";"102,4";"105,3";"104,6";"102,0";"106,6";"101,1";"103,3";"109,0";"105,3";"103,4";"105,9";"111,4";"108,6";"109,2";"106,8";"103,7";"102,5";"104,0";"101,5";"104,0";"101,1";"99,5";"104,9";"103,0";"104,5";"104,4";"103,5";"102,1";"102,8";"107,0";"106,9";"109,3";"107,9";"112,7";"108,4";"115,7";"113,3";"112,7";"109,0";"104,3";"108,0";"98,7";"100,0";"92,9";"95,6";"98,7";"104,8";"104,9";"106,5";"106,0";"101,5";"101,0";"105,9";"101,8";"102,5";"105,9";"101,2";"102,5";"101,7";"100,4";"102,4";"101,6";"101,5";"103,8";"99,4";"103,1";"104,0";"103,3";"102,7";"102,9";"102,6"
"AlkoholickÈ n·poje a tabak"
"  mil. EUR b.c.";"154,45";"194,54";"184,19";"188,45";"193,32";"204,84";"188,28";"197,54";"202,47";"220,11";"200,80";"211,92";"213,09";"246,04";"227,95";"243,87";"233,16";"265,84";"237,27";"246,71";"260,08";"279,72";"235,42";"263,40";"263,77";"275,15";"242,21";"275,55";"292,34";"308,04";"279,17";"324,09";"309,30";"329,99";"297,36";"341,95";"333,67";"353,92";"314,29";"353,02";"333,86";"352,27";"312,84";"393,91";"358,36";"377,48";"335,81";"408,65";"379,32";"404,28";"372,14";"476,74";"409,18";"420,94";"394,78";"471,28";"410,97";"432,85";"401,52";"483,31";"418,87";"442,05";"434,37";"505,91";"420,58";"447,89";"434,37";"560,23";"448,27";"469,98";"464,29";"523,78";"454,74";"477,87";"470,39";"528,40";"470,42";"489,32";"476,46";"545,10";"476,72";"499,37";"483,06";"553,79";"470,72";"502,62";"491,06"
"  indexy v b.c., romr = 100";".";".";".";".";"125,2";"105,3";"102,2";"104,8";"104,7";"107,5";"106,6";"107,3";"105,2";"111,8";"113,5";"115,1";"109,4";"108,0";"104,1";"101,2";"111,5";"105,2";"99,2";"106,8";"101,4";"98,4";"102,9";"104,6";"110,8";"112,0";"115,3";"117,6";"105,8";"107,1";"106,5";"105,5";"107,9";"107,3";"105,7";"103,2";"100,1";"99,5";"99,5";"111,6";"107,3";"107,2";"107,3";"103,7";"105,8";"107,1";"110,8";"116,7";"107,9";"104,1";"106,1";"98,9";"100,4";"102,8";"101,7";"102,6";"101,9";"102,1";"108,2";"104,7";"100,4";"101,3";"100,0";"110,7";"106,6";"104,9";"106,9";"93,5";"101,4";"101,7";"101,3";"100,9";"103,4";"102,4";"101,3";"103,2";"101,3";"102,1";"101,4";"101,6";"98,7";"100,7";"101,7"
"Odevy a obuv"
