"KoneËn· spotreba dom·cnostÌ podæa Klasifik·cie individu·lnej spotreby (COICOP) v mil. EUR st·lych cien, indexy"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"⁄hrn"
"  mil. EUR s.c.p.r.";"2 169,26";"2 316,93";"2 300,91";"2 299,46";"2 589,49";"2 765,76";"2 746,64";"2 744,91";"2 937,99";"3 171,80";"3 084,50";"3 064,10";"3 227,76";"3 491,66";"3 483,81";"3 363,94";"3 449,03";"3 742,80";"3 535,81";"3 534,04";"3 686,99";"4 021,78";"4 039,75";"4 204,22";"4 325,85";"4 438,95";"4 612,05";"4 822,45";"4 666,55";"5 014,39";"5 177,44";"5 457,95";"5 124,79";"5 303,06";"5 395,78";"5 678,86";"5 697,15";"5 799,84";"6 061,51";"6 439,54";"6 481,73";"6 635,94";"6 935,22";"7 193,99";"7 131,19";"7 163,57";"7 451,10";"7 900,90";"8 007,19";"8 165,88";"8 502,71";"8 804,35";"8 832,66";"8 887,64";"9 256,85";"9 436,73";"9 196,46";"9 364,32";"9 709,57";"9 561,83";"9 238,78";"9 389,36";"9 747,74";"9 631,56";"9 305,68";"9 388,02";"9 761,45";"9 718,50";"9 689,00";"9 740,90";"10 078,28";"9 992,89";"9 849,37";"10 102,99";"10 326,20";"10 262,88";"10 170,45";"10 375,05";"10 551,72";"10 547,52";"10 316,86";"10 606,14";"10 796,38";"10 802,62";"10 576,69";"10 925,08";"11 054,76"
"  mil. EUR s.c.10";"4 711,89";"5 032,64";"4 997,85";"4 994,70";"5 147,80";"5 498,23";"5 460,22";"5 456,77";"5 587,18";"6 031,81";"5 865,79";"5 826,99";"5 882,41";"6 363,36";"6 349,05";"6 130,61";"5 952,79";"6 459,82";"6 102,57";"6 099,52";"5 795,27";"6 321,49";"6 349,75";"6 608,26";"6 272,98";"6 436,98";"6 688,00";"6 993,10";"6 410,49";"6 888,31";"7 112,30";"7 497,65";"6 839,57";"7 077,49";"7 201,23";"7 579,04";"7 130,60";"7 259,13";"7 586,63";"8 059,78";"7 566,30";"7 746,32";"8 095,68";"8 397,75";"8 104,03";"8 140,84";"8 467,59";"8 978,75";"8 676,33";"8 848,28";"9 213,26";"9 540,10";"9 328,33";"9 386,39";"9 776,32";"9 966,30";"9 295,21";"9 464,88";"9 813,84";"9 664,50";"9 333,33";"9 485,44";"9 847,50";"9 730,12";"9 305,68";"9 388,02";"9 761,45";"9 718,50";"9 324,13";"9 374,08";"9 698,75";"9 616,58";"9 161,35";"9 397,25";"9 604,86";"9 545,97";"9 334,96";"9 522,76";"9 684,92";"9 681,06";"9 478,36";"9 744,13";"9 918,90";"9 924,64";"9 729,30";"10 049,77";"10 169,06"
"  indexy v s.c.10, romr=100";".";".";".";".";"109,3";"109,3";"109,3";"109,3";"108,5";"109,7";"107,4";"106,8";"105,3";"105,5";"108,2";"105,2";"101,2";"101,5";"96,1";"99,5";"97,4";"97,9";"104,1";"108,3";"108,2";"101,8";"105,3";"105,8";"102,2";"107,0";"106,3";"107,2";"106,7";"102,7";"101,3";"101,1";"104,3";"102,6";"105,4";"106,3";"106,1";"106,7";"106,7";"104,2";"107,1";"105,1";"104,6";"106,9";"107,1";"108,7";"108,8";"106,3";"107,5";"106,1";"106,1";"104,5";"99,6";"100,8";"100,4";"97,0";"100,4";"100,2";"100,3";"100,7";"99,7";"99,0";"99,1";"99,9";"100,2";"99,9";"99,4";"99,0";"98,3";"100,2";"99,0";"99,3";"101,9";"101,3";"100,8";"101,4";"101,5";"102,3";"102,4";"102,5";"102,6";"103,1";"102,5"
"Potraviny a nealkoholickÈ n·poje"
"  mil. EUR s.c.p.r.";"590,09";"659,32";"646,91";"652,16";"704,40";"787,04";"772,23";"778,50";"796,51";"888,05";"871,54";"859,49";"884,73";"963,99";"956,39";"925,14";"910,72";"1 050,69";"989,29";"940,90";"877,60";"950,66";"935,80";"942,85";"1 029,12";"1 064,27";"1 084,87";"1 157,77";"1 098,51";"1 197,37";"1 224,61";"1 249,64";"1 161,58";"1 249,71";"1 198,37";"1 245,63";"1 108,40";"1 202,89";"1 216,22";"1 294,60";"1 258,07";"1 328,84";"1 371,30";"1 383,85";"1 270,95";"1 381,15";"1 393,09";"1 434,51";"1 309,68";"1 556,45";"1 510,64";"1 609,97";"1 434,41";"1 623,35";"1 529,09";"1 716,28";"1 681,22";"1 836,17";"1 790,47";"1 778,08";"1 602,82";"1 749,03";"1 708,38";"1 692,57";"1 610,34";"1 719,42";"1 704,70";"1 690,00";"1 755,31";"1 804,65";"1 759,34";"1 789,47";"1 755,30";"1 847,91";"1 794,68";"1 854,94";"1 854,11";"1 969,82";"1 918,64";"1 969,46";"1 894,50";"2 004,21";"1 960,69";"1 998,00";"1 966,22";"2 119,53";"2 066,10"
"  mil. EUR s.c.10";"1 104,27";"1 233,81";"1 210,60";"1 220,42";"1 151,70";"1 286,80";"1 262,60";"1 272,84";"1 271,40";"1 417,51";"1 391,17";"1 371,93";"1 341,51";"1 461,68";"1 450,17";"1 402,78";"1 325,48";"1 529,20";"1 439,84";"1 369,41";"1 234,56";"1 337,33";"1 316,44";"1 326,35";"1 271,08";"1 314,50";"1 339,94";"1 429,98";"1 307,89";"1 425,59";"1 458,03";"1 487,83";"1 370,62";"1 474,61";"1 414,03";"1 469,79";"1 280,45";"1 389,60";"1 405,00";"1 495,55";"1 383,66";"1 461,50";"1 508,19";"1 522,00";"1 423,01";"1 546,39";"1 559,76";"1 606,13";"1 436,71";"1 707,42";"1 657,17";"1 766,14";"1 513,19";"1 712,51";"1 613,07";"1 810,55";"1 638,52";"1 789,54";"1 745,00";"1 732,93";"1 628,67";"1 777,23";"1 735,93";"1 719,86";"1 610,34";"1 719,42";"1 704,70";"1 690,00";"1 658,83";"1 705,46";"1 662,64";"1 691,12";"1 593,89";"1 677,99";"1 629,65";"1 684,37";"1 627,26";"1 728,82";"1 683,89";"1 728,50";"1 670,13";"1 766,84";"1 728,47";"1 761,37";"1 731,50";"1 866,51";"1 819,46"
"  indexy v s.c.10, romr=100";".";".";".";".";"104,3";"104,3";"104,3";"104,3";"110,4";"110,2";"110,2";"107,8";"105,5";"103,1";"104,2";"102,2";"98,8";"104,6";"99,3";"97,6";"93,1";"87,5";"91,4";"96,9";"103,0";"98,3";"101,8";"107,8";"102,9";"108,5";"108,8";"104,0";"104,8";"103,4";"97,0";"98,8";"93,4";"94,2";"99,4";"101,8";"108,1";"105,2";"107,3";"101,8";"102,8";"105,8";"103,4";"105,5";"101,0";"110,4";"106,2";"110,0";"105,3";"100,3";"97,3";"102,5";"108,3";"104,5";"108,2";"95,7";"99,4";"99,3";"99,5";"99,2";"98,9";"96,7";"98,2";"98,3";"103,0";"99,2";"97,5";"100,1";"96,1";"98,4";"98,0";"99,6";"102,1";"103,0";"103,3";"102,6";"102,6";"102,2";"102,6";"101,9";"103,7";"105,6";"105,3"
"AlkoholickÈ n·poje a tabak"
"  mil. EUR s.c.p.r.";"163,75";"170,16";"155,19";"162,78";"195,47";"203,12";"185,26";"194,31";"204,26";"220,94";"201,21";"206,19";"200,08";"228,00";"211,17";"227,58";"234,75";"262,65";"216,24";"226,81";"248,07";"268,84";"224,37";"251,24";"260,25";"268,11";"233,93";"265,25";"273,93";"292,08";"264,77";"304,87";"297,87";"314,88";"266,66";"303,06";"298,33";"318,20";"300,30";"349,04";"336,62";"358,50";"317,55";"394,69";"351,31";"370,47";"322,72";"382,47";"353,53";"377,78";"364,43";"475,71";"396,75";"401,17";"382,54";"440,59";"385,52";"408,78";"378,30";"459,99";"404,73";"428,61";"398,09";"483,06";"410,41";"431,77";"418,47";"540,83";"437,54";"466,12";"460,47";"513,23";"443,20";"466,63";"456,00";"516,18";"460,37";"480,48";"470,94";"538,54";"470,72";"495,11";"480,50";"555,46";"473,36";"498,75";"488,90"
