"Ekonomické subjekty SR v RO pod¾a právnych foriem"

" ";"2015"
"Subjekty SR úhrnom";"546 122"
"Právnické osoby spolu";"207 655"
"Podniky spolu";"193 262"
"Obchodné spoloènosti";"183 531"
"Akciové spoloènosti";"5 340"
"Spol. s r.o.";"176 956"
"Družstvá";"1 323"
"Štátne podniky";"18"
"Obecné podniky";"-"
"Zahranièné osoby";"2 670"
"FO-podnikatelia zap. v OR";"3 209"
"Neziskové inštitúcie";"14 393"
"Rozpoètové organizácie";"6 395"
"Príspevkové organizácie";"638"
"Ostatné neziskové inštitúcie";"7 360"
"Fyzické os.-podnikatelia spolu";"338 467"
"Živnostníci";"316 460"

"Poznámky:"
"Vykazované poèty sú za ekonomicky aktívne subjekty zapísané v štatistickom registri organizácií ŠÚ SR vyhodnotené pod¾a novej metodiky Eurostatu;"
"za ekonomicky aktívny subjekt sa považuje ten, ktorý mal  v sledovanom referenènom období  zamestnancov, tržby alebo investície."
