"Ekonomické subjekty pod¾a právnych foriem"

" ";"2015M11";"2015M12";"2016M01";"2016M02";"2016M03";"2016M04";"2016M05";"2016M06";"2016M07";"2016M08";"2016M09";"2016M10";"2016M11"
"Subjekty SR úhrnom";"541 817";"546 122";"548 514";"552 457";"557 714";"565 426";"576 711";"584 804";"588 752";"592 281";"596 208";"590 013";"583 356"
"Právnické osoby spolu";"206 778";"207 655";"209 314";"210 865";"212 928";"215 780";"221 881";"223 609";"224 524";"225 737";"226 090";"226 197";"227 576"
"Podniky spolu";"192 501";"193 262";"194 845";"196 326";"197 922";"200 281";"206 116";"207 563";"208 188";"209 198";"209 316";"209 291";"210 339"
"Obchodné spoloènosti";"182 818";"183 531";"185 030";"186 472";"188 000";"190 212";"195 916";"197 253";"197 851";"198 770";"198 871";"198 825";"199 790"
"Akciové spoloènosti";"5 323";"5 340";"5 357";"5 360";"5 375";"5 401";"5 531";"5 545";"5 547";"5 549";"5 536";"5 519";"5 525"
"Spol. s r.o.";"176 265";"176 956";"178 426";"179 861";"181 369";"183 538";"189 097";"190 416";"191 003";"191 925";"192 044";"192 017";"192 977"
"Družstvá";"1 320";"1 323";"1 327";"1 328";"1 335";"1 341";"1 344";"1 348";"1 345";"1 348";"1 346";"1 344";"1 348"
"Štátne podniky";"18";"18";"18";"18";"18";"18";"18";"18";"18";"18";"19";"19";"19"
"Obecné podniky";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Zahranièné osoby";"2 624";"2 670";"2 742";"2 787";"2 836";"2 957";"3 083";"3 180";"3 204";"3 277";"3 311";"3 340";"3 441"
"FO-podnikatelia zap. v OR";"3 215";"3 209";"3 209";"3 204";"3 210";"3 234";"3 233";"3 238";"3 243";"3 256";"3 234";"3 231";"3 207"
"Neziskové inštitúcie";"14 277";"14 393";"14 469";"14 539";"15 006";"15 499";"15 765";"16 046";"16 336";"16 539";"16 774";"16 906";"17 237"
"Rozpoètové organizácie";"6 404";"6 395";"6 393";"6 389";"6 386";"6 387";"6 383";"6 385";"6 384";"6 377";"6 375";"6 372";"6 372"
"Príspevkové organizácie";"640";"638";"637";"639";"640";"643";"641";"639";"638";"636";"637";"641";"640"
"Ostatné neziskové inštitúcie";"7 233";"7 360";"7 439";"7 511";"7 980";"8 469";"8 741";"9 022";"9 314";"9 526";"9 762";"9 893";"10 225"
"Fyzické os.-podnikatelia spolu";"335 039";"338 467";"339 200";"341 592";"344 786";"349 646";"354 830";"361 195";"364 228";"366 544";"370 118";"363 816";"355 780"
"Živnostníci";"313 398";"316 460";"316 893";"318 518";"321 351";"326 085";"331 225";"337 596";"340 561";"342 827";"346 353";"339 985";"331 772"

"Poznámky:"
"Vykazované poèty sú za ekonomicky aktívne subjekty zapísané v štatistickom registri organizácií ŠÚ SR vyhodnotené pod¾a aktualizovanej metodiky;"
"za ekonomicky aktívny subjekt sa považuje ten, ktorý mal  v sledovanom referenènom období  zamestnancov, tržby alebo investície."
