Name,"General Government Breakdown,General government debt,General Government debt (maastricht debt),[SK, GG, n, nsa, mil. Eur], SO SR","General Government Breakdown,General government debt,Central Government debt   ,[SK, CG, n, nsa, mil. Eur], SO SR","General Government Breakdown,General government debt,Local Government debt,[SK, LG, n, nsa, mil. Eur], SO SR","General Government Breakdown,General government debt,Social Security Funds debt,[SK, SSF, n, nsa, mil. Eur], SO SR","General Government Breakdown,General government debt,EFSF,  ESM,[SK, GG, n, nsa, mil. Eur], Eurostat","General Government Breakdown,General government debt,Net debt,[SK, GG, n, nsa, mil. Eur], NBS calculations"
1Q1993,,,,,,
2Q1993,,,,,,
3Q1993,,,,,,
4Q1993,,,,,,
1Q1994,,,,,,
2Q1994,,,,,,
3Q1994,,,,,,
4Q1994,,,,,,
1Q1995,,,,,,
2Q1995,,,,,,
3Q1995,,,,,,
4Q1995,,,,,,
1Q1996,,,,,,
2Q1996,,,,,,
3Q1996,,,,,,
4Q1996,,,,,,
1Q1997,,,,,,
2Q1997,,,,,,
3Q1997,,,,,,
4Q1997,,,,,,
1Q1998,,,,,,
2Q1998,,,,,,
3Q1998,,,,,,
4Q1998,,,,,,
1Q1999,,,,,,
2Q1999,,,,,,
3Q1999,,,,,,
4Q1999,,,,,,
1Q2000,13822.78,13463.32,362.28,132.78,,4419.17
2Q2000,15069.04,14708.33,363.74,132.78,,5477.819
3Q2000,15242.22,14713.04,532.99,132.78,,5857.198
4Q2000,15681.7,15275.54,417.48,146.05,,7214.057
1Q2001,15801.85,15409.24,406.29,146.05,,7256.238
2Q2001,16352.96,15965.92,407.72,146.05,,7376.759
3Q2001,16382.99,16014.41,405,151.53,,7612.699
4Q2001,16565.649,16205.159,431.65,112.56,,8942.839
1Q2002,16927.491,16599.131,411.14,112.56,,9996.228
2Q2002,17297.303,16990.153,432.32,112.56,,9732.859
3Q2002,16136.175,15827.965,461.96,112.56,,6623.469
4Q2002,15986.438,15667.878,480.98,93.71,,6995.744
1Q2003,15834.726,15508.626,501.1,93.71,,6825.268
2Q2003,16442.484,16111.474,505.18,90.42,,6897.207
3Q2003,16413.092,16109.162,476.8,58.09,,6786.486
4Q2003,17219.548,16889.008,487.85,13.28,,8605.613
1Q2004,17609.82,17285.08,454.59,13.28,,8681.301
2Q2004,18345.732,18003.772,499.27,6.64,,8847.148
3Q2004,18596.514,18272.544,522.11,6.64,,9754.248
4Q2004,18735.306,18324.766,621.09,6.64,,9907.15
1Q2005,17643.584,17950.864,624.24,6.64,,10804.431755
2Q2005,16663.452,16959.822,642.82,0,,10092.134755
3Q2005,16827.22,16963.78,705.11,0,,10688.350755
4Q2005,17201.179,17273.319,788.28,0,,12411.730755
1Q2006,17884.39,17935.61,810.89,0,,11868.862755
2Q2006,17821.91,17863.15,817.46,0,,10419.353755
3Q2006,17568.25,17674.94,832.69,0,,10706.593755
4Q2006,17430.537,17604.947,918.13,0,,13171.671755
1Q2007,16917.63,17121.57,919.24,0,,12960.608755
2Q2007,18870.04,19027.43,980.13,0,,12703.386755
3Q2007,18922.52,19062.83,1006.97,0,,12552.780755
4Q2007,18979.8,19125.61,1117.45,0,,13411.185755
1Q2008,17628.65,17829.63,1067.53,0,,13563.8171902261
2Q2008,17617.25,17909.47,1091.9,0,,13019.8870148204
3Q2008,18199.7,18532.35,1132.17,0,,12824.8880148204
4Q2008,19493.7,19661.38,1288.07,0,,14065.046755
1Q2009,19849.75,19853.6,1281.2,0,,14400.587755
2Q2009,21971.24,21721.06,1337.45,0,,15558.147755
3Q2009,23143.18,22810.17,1389.04,0,,16508.724755
4Q2009,23236.84,22914.04,1507.88,0,,19080.230755
1Q2010,23801.92,23369.89,1478.07,0,,19506.680755
2Q2010,25972.55,25541.93,1531.49,0,,20964.693755
3Q2010,25870.46,25324.34,1652.52,0,,21865.725755
4Q2010,27842.28,27267.86,1787.48,0,,23966.389755
1Q2011,29301.81,28766,1766.33,0,43.6159,24963.201755
2Q2011,29905.47,29461.46,1767.7,0,119.692,25473.242755
3Q2011,29877.07,29512.71,1792.49,0,119.692,25901.613755
4Q2011,30846.87,30547.6,1717.26,0,172.6129,27660.649755
1Q2012,33290.43,32982.14,1722.48,0,615.682,28583.640755
2Q2012,36219.29,35986.96,1703.32,0,1092.8196,28689.521755
3Q2012,37340.41,37068.47,1696.88,0,1120.494,28948.515755
4Q2012,37925.71,37766.52,1683.75,0,1758.008,30285.384755
1Q2013,40017.58,39949.1,1660.24,0,1817.614,30903.068
2Q2013,42277.74,42179.34,1619.4,0,2184.336,31205.237
3Q2013,41689.89,41582.4,1634.76,0,2221.667,31333.599
4Q2013,40600.01,40500.49,1638.73,0,2422.8027633639,32316.899
1Q2014,42983.48,42851.38,1683.54,0,2423.13595054896,33156.609
2Q2014,41768.86,41671.49,1665.17,0,2635.7,33530.574
3Q2014,41858.06,41802.87,1663.96,0,2657.007,33309.471
4Q2014,40725.02,40531.4,1688.39,0,2657.007,34260.825
1Q2015,41325.52,41153.47,1705.25,0.33,2540.64,34787.73
2Q2015,41904.25,42239.52,1710.25,1.52,2540.63989453698,34008.31
3Q2015,41635.44,41870.04,1708.5,0.4,2540.63989453698,33363.22
4Q2015,41293.32,41340.82,1823.26,0.37,2540.63989453698,34354.95
1Q2016,41034.23,40961.46,1822,0.24,2540.63989453698,34865.16
2Q2016,42259.87,42190.18,1795.94,0,2540.63989453698,35073.12
3Q2016,,,,,,
4Q2016,,,,,,
,,,,,,
