Name,"General Government Breakdown,Consolidation effort,Cyclical component,[SK, GG, n, annual, mil. Eur], CBR","General Government Breakdown,Consolidation effort,One-off measures,[SK, GG, n, annual, mil. Eur], CBR","General Government Breakdown,Consolidation effort,II. pillar implementation costs,[SK, GG, n, annual, mil. Eur], CBR","General Government Breakdown,Consolidation effort,Interest payment,[SK, GG, n, annual, mil. Eur], CBR","General Government Breakdown,Consolidation effort,Highway construction outside the GG balance sheet,[SK, GG, n, annual, mil. Eur], CBR","General Government Breakdown,Consolidation effort,Adjusted balance ,[SK, GG, n, annual, mil. Eur], CBR","General Government Breakdown,Consolidation effort,Structural balance adjusted by EU ,[SK, GG, n, annual, mil. Eur], CBR"
1993,,,,,,,
1994,,,,,,,
1995,,,,,,,
1996,172.435021511842,-253.770543251676,0,-546.172741153821,,-1506.38111140097,-1506.38111140097
1997,137.95516511235,36.513,0,-572.993427604063,,-1107.41005079249,-1107.41005079249
1998,86.9092724492292,33.194,0,-663.977959237868,,-852.182654511235,-852.182654511235
1999,-381.406059599238,22.874,0,-953.827258846179,,-774.560670135873,-774.560670135873
2000,126.986288472134,-1594.37,0,-1265.5513509925,,-1091.46796283979,-1091.46796283979
2001,11.1075585864004,145.090929097789,0,-1354.21230830512,,-1007.32429688554,-1007.32429688554
2002,-37.5603510467518,-526.966797517095,0,-1307.77401580031,,-1151.89724657656,-1151.89724657656
2003,-100.490271180555,-575.583,0,-1019.35205470358,,568.093816755806,568.093816755806
2004,-198.295429187065,-15.6011418708093,0,-983.635397995087,,132.205979874181,80.6558238627626
2005,-371.440362275865,-247.261983875407,-373.962690035186,-847.839075881299,196.741,256.323054841438,124.450253938564
2006,-311.303790167602,-207.259720113652,-669.288986257718,-804.122684724158,201.173,45.3084488724999,-221.471077118339
2007,171.269662311187,313.815674993122,-777,-852.320254929297,69.855,-40.4048724102022,-412.661395015261
2008,541.460773190878,-40.2895037986109,-813,-833.46610900883,-9.91218900000001,-241.780129413238,-660.986210481153
2009,-862.137748624532,-115.751195983073,-795,-906.179,245.478675170517,-2588.46573056291,-3328.32373056291
2010,-238.981004570455,-90.3476,-811.874,-884.785,443.188505150426,-3463.81990057997,-4835.79590057997
2011,-98.718503190658,-150.4614,-845.891,-1084.384,202.07930165781,-1521.99039846715,-3031.23039846715
2012,-105.232500172183,349.12502,-722.527,-1322.104,-52.916,-1376.44822780559,-2750.38522780559
2013,-315.359784820658,733.62044,-417.387,-1362.699,-172.061470467645,-641.114644711701,-1847.9686447117
2014,-247.588285797162,1193.19046,-435.284,-1374.95,-73.524433,-1206.20574120284,-3652.26574120284
2015,-146.428206389532,294.502,-455.171,-1425.634,-74.007398,-235.440395610462,-2443.07939561046
2016,27.0095664934589,301.83104,-477.975,-1559.156,-74.504852,529.717245506549,-810.671754493451
,,,,,,,
