"Ekonomické subjekty pod¾a právnych foriem"

" ";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Subjekty SR úhrnom";"328 159";"342 567";"343 002";"325 676";"352 613";"379 277";"379 025";"384 925";"396 578";"390 760";"431 132";"474 663";"493 871";"527 486";"549 413";"588 181";"593 219";"607 397";"612 412";"610 381";"624 173";"628 569"
"Právnické osoby spolu";"45 265";"55 565";"67 892";"67 514";"75 411";"83 476";"83 275";"88 405";"93 072";"93 360";"101 412";"114 285";"126 777";"139 240";"149 772";"169 960";"179 352";"197 089";"210 087";"222 929";"241 960";"259 055"
"Podniky spolu";"28 522";"36 187";"43 636";"47 866";"53 819";"60 334";"58 333";"60 920";"62 867";"59 486";"64 420";"74 207";"83 710";"93 411";"101 574";"119 933";"127 409";"143 001";"153 881";"164 771";"181 914";"196 355"
"Obchodné spoloènosti";"20 850";"28 333";"35 496";"44 248";"44 721";"51 487";"50 441";"53 110";"55 340";"52 703";"57 647";"67 143";"76 632";"86 317";"94 575";"112 149";"119 268";"134 336";"145 110";"155 689";"171 941";"184 258"
"Akciové spoloènosti";"1 691";"2 117";"2 708";"3 425";"3 297";"3 916";"4 060";"4 208";"4 229";"3 993";"4 135";"4 341";"4 598";"4 786";"4 972";"5 227";"5 358";"5 547";"5 616";"5 654";"5 760";"5 849"
"Spol. s r.o.";"18 147";"25 024";"31 470";"39 378";"40 228";"46 339";"45 277";"47 810";"50 073";"47 865";"52 673";"61 919";"71 152";"80 638";"88 760";"106 017";"112 997";"127 778";"138 395";"148 921";"164 970";"177 110"
"Družstvá";"1 922";"1 988";"2 081";"2 233";"1 923";"1 917";"1 802";"1 747";"1 682";"1 523";"1 517";"1 564";"1 542";"1 501";"1 492";"1 535";"1 553";"1 580";"1 573";"1 542";"1 546";"1 542"
"Štátne podniky";"1 049";"1 082";"1 030";"846";"203";"149";"97";"75";"67";"44";"37";"35";"30";"22";"21";"23";"23";"21";"20";"20";"21";"23"
"Obecné podniky";"263";"192";"141";"142";"47";"32";"20";"9";"7";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Zahranièné osoby";"437";"633";"776";"898";"871";"923";"815";"908";"1 668";"1 361";"1 427";"1 516";"1 565";"1 652";"1 723";"2 389";"2 755";"3 065";"3 318";"3 537";"3 530";"3 599"
"FO-podnikatelia zap. v OR";"4 001";"3 959";"4 112";"4 086";"3 708";"3 754";"3 191";"3 072";"2 366";"1 976";"1 922";"1 894";"1 817";"1 783";"1 644";"1 738";"1 651";"1 721";"1 576";"1 625";"2 380";"3 618"
"Neziskové inštitúcie";"16 743";"19 378";"24 256";"19 648";"21 592";"23 142";"24 942";"27 485";"30 205";"33 874";"36 992";"40 078";"43 067";"45 829";"48 198";"50 027";"51 943";"54 088";"56 206";"58 158";"60 046";"62 700"
"Rozpoètové organizácie";"2 142";"1 985";"1 944";"1 957";"1 040";"5 005";"5 108";"5 070";"5 071";"6 410";"6 470";"6 612";"6 654";"6 649";"6 643";"6 592";"6 643";"6 662";"6 615";"6 601";"6 463";"6 478"
"Príspevkové organizácie";"2 674";"2 255";"2 174";"1 371";"4 948";"988";"1 104";"1 058";"1 350";"1 360";"1 354";"962";"895";"816";"792";"751";"726";"717";"701";"681";"661";"659"
"Ostatné neziskové inštitúcie";"11 927";"15 138";"20 138";"16 320";"15 604";"17 149";"18 730";"21 357";"23 784";"26 104";"29 168";"32 504";"35 518";"38 364";"40 763";"42 684";"44 574";"46 709";"48 890";"50 876";"52 922";"55 563"
"Fyzické os.-podnikatelia spolu";"282 894";"287 002";"275 110";"258 162";"277 202";"295 801";"295 750";"296 520";"303 506";"297 400";"329 720";"360 378";"367 094";"388 246";"399 641";"418 221";"413 867";"410 308";"402 325";"387 452";"382 213";"369 514"
"Živnostníci";"264 090";"263 733";"248 204";"226 665";"244 419";"263 733";"266 903";"269 323";"279 597";"273 322";"306 356";"336 640";"344 870";"364 185";"374 382";"392 841";"387 876";"384 202";"375 722";"359 575";"352 709";"337 182"
"Slobodné povolania";"1 172";"2 480";"7 307";"10 483";"12 212";"12 946";"11 231";"11 647";"12 187";"12 368";"13 044";"13 683";"12 752";"15 175";"16 725";"17 189";"17 974";"18 378";"19 069";"20 382";"21 925";"24 483"
"Samostatne hosp. ro¾níci";"17 632";"20 789";"19 599";"21 014";"20 571";"19 122";"17 616";"15 550";"11 722";"11 710";"10 320";"10 055";"9 472";"8 886";"8 534";"8 191";"8 017";"7 728";"7 534";"7 495";"7 579";"7 849"
